software_a,software_b,tipo_evento,caso_uso_resumido,titulo_pagina,slug_url,descricao_curta,json_n8n_url,passos_resumo,tags
Salesforce,Facebook,Alerta,Notificação para equipes,Como integrar Salesforce com Facebook para alerta usando N8N,salesforce-para-facebook-n8n-alerta,Automatize alerta integrando Salesforce e Facebook com N8N. Notificação para equipes.,https://n8n.io/workflows/3128,Conectar Trigger Salesforce|Validar dados|Formatar para Facebook|Enviar/Criar no Facebook|Registrar resultado,"startup,sync,b2b"
Salesforce,Facebook,Importação,Enriquecimento de contatos,Como integrar Salesforce com Facebook para importação usando N8N,salesforce-para-facebook-n8n-importação,Automatize importação integrando Salesforce e Facebook com N8N. Enriquecimento de contatos.,https://n8n.io/workflows/3129,Conectar Trigger Salesforce|Validar dados|Formatar para Facebook|Enviar/Criar no Facebook|Registrar resultado,"project-management,vendas,payment"
Salesforce,Facebook,Exportação,Notificação e alerta de eventos importantes,Como integrar Salesforce com Facebook para exportação usando N8N,salesforce-para-facebook-n8n-exportação,Automatize exportação integrando Salesforce e Facebook com N8N. Notificação e alerta de eventos importantes.,https://n8n.io/workflows/3130,Conectar Trigger Salesforce|Validar dados|Formatar para Facebook|Enviar/Criar no Facebook|Registrar resultado,"transform,api,trigger"
Salesforce,Facebook,Transformação,Geração de relatórios automatizados,Como integrar Salesforce com Facebook para transformação usando N8N,salesforce-para-facebook-n8n-transformação,Automatize transformação integrando Salesforce e Facebook com N8N. Geração de relatórios automatizados.,https://n8n.io/workflows/3131,Conectar Trigger Salesforce|Validar dados|Formatar para Facebook|Enviar/Criar no Facebook|Registrar resultado,"b2c,formularios,backup"
Salesforce,Facebook,Filtro,Aumento de produtividade,Como integrar Salesforce com Facebook para filtro usando N8N,salesforce-para-facebook-n8n-filtro,Automatize filtro integrando Salesforce e Facebook com N8N. Aumento de produtividade.,https://n8n.io/workflows/3132,Conectar Trigger Salesforce|Validar dados|Formatar para Facebook|Enviar/Criar no Facebook|Registrar resultado,"marketing,trigger,api"
Salesforce,Facebook,Validação,Redução de tarefas repetitivas,Como integrar Salesforce com Facebook para validação usando N8N,salesforce-para-facebook-n8n-validação,Automatize validação integrando Salesforce e Facebook com N8N. Redução de tarefas repetitivas.,https://n8n.io/workflows/3133,Conectar Trigger Salesforce|Validar dados|Formatar para Facebook|Enviar/Criar no Facebook|Registrar resultado,"crm,marketing,import"
Salesforce,Instagram,Lead,Geração de relatórios automatizados,Como integrar Salesforce com Instagram para lead usando N8N,salesforce-para-instagram-n8n-lead,Automatize lead integrando Salesforce e Instagram com N8N. Geração de relatórios automatizados.,https://n8n.io/workflows/3134,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"crm,b2c,startup"
Salesforce,Instagram,Venda,Organização de eventos e agendamentos,Como integrar Salesforce com Instagram para venda usando N8N,salesforce-para-instagram-n8n-venda,Automatize venda integrando Salesforce e Instagram com N8N. Organização de eventos e agendamentos.,https://n8n.io/workflows/3135,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"finance,schedule,security"
Salesforce,Instagram,Notificação,Criação de leads qualificados,Como integrar Salesforce com Instagram para notificação usando N8N,salesforce-para-instagram-n8n-notificação,Automatize notificação integrando Salesforce e Instagram com N8N. Criação de leads qualificados.,https://n8n.io/workflows/3136,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"payment,saas,formularios"
Salesforce,Instagram,Formulário,Aumento de produtividade,Como integrar Salesforce com Instagram para formulário usando N8N,salesforce-para-instagram-n8n-formulário,Automatize formulário integrando Salesforce e Instagram com N8N. Aumento de produtividade.,https://n8n.io/workflows/3137,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"accounting,export,customer-support"
Salesforce,Instagram,Contato,Criação de leads qualificados,Como integrar Salesforce com Instagram para contato usando N8N,salesforce-para-instagram-n8n-contato,Automatize contato integrando Salesforce e Instagram com N8N. Criação de leads qualificados.,https://n8n.io/workflows/3138,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"cultura,filter,project-management"
Salesforce,Instagram,Pedido,Organização de eventos e agendamentos,Como integrar Salesforce com Instagram para pedido usando N8N,salesforce-para-instagram-n8n-pedido,Automatize pedido integrando Salesforce e Instagram com N8N. Organização de eventos e agendamentos.,https://n8n.io/workflows/3139,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"ecommerce,backup,social"
Salesforce,Instagram,Pagamento,Gestão de tickets e suporte,Como integrar Salesforce com Instagram para pagamento usando N8N,salesforce-para-instagram-n8n-pagamento,Automatize pagamento integrando Salesforce e Instagram com N8N. Gestão de tickets e suporte.,https://n8n.io/workflows/3140,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"finance,vendas,acquisition"
Salesforce,Instagram,Evento,Centralização de dados empresariais,Como integrar Salesforce com Instagram para evento usando N8N,salesforce-para-instagram-n8n-evento,Automatize evento integrando Salesforce e Instagram com N8N. Centralização de dados empresariais.,https://n8n.io/workflows/3141,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"integracao,b2b,automacao"
Salesforce,Instagram,Chat,Verificação de dados duplicados,Como integrar Salesforce com Instagram para chat usando N8N,salesforce-para-instagram-n8n-chat,Automatize chat integrando Salesforce e Instagram com N8N. Verificação de dados duplicados.,https://n8n.io/workflows/3142,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"formularios,transform,schedule"
Salesforce,Instagram,Comentário,Captura e processamento automático de dados,Como integrar Salesforce com Instagram para comentário usando N8N,salesforce-para-instagram-n8n-comentário,Automatize comentário integrando Salesforce e Instagram com N8N. Captura e processamento automático de dados.,https://n8n.io/workflows/3143,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"retention,whatsapp,growth"
Salesforce,Instagram,Post,Controle de inventário e estoque,Como integrar Salesforce com Instagram para post usando N8N,salesforce-para-instagram-n8n-post,Automatize post integrando Salesforce e Instagram com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/3144,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"api,formularios,cultura"
Salesforce,Instagram,Agendamento,Melhor rastreabilidade,Como integrar Salesforce com Instagram para agendamento usando N8N,salesforce-para-instagram-n8n-agendamento,Automatize agendamento integrando Salesforce e Instagram com N8N. Melhor rastreabilidade.,https://n8n.io/workflows/3145,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"marketing,booking,inventory"
Salesforce,Instagram,Email,Atendimento ao cliente 24/7,Como integrar Salesforce com Instagram para email usando N8N,salesforce-para-instagram-n8n-email,Automatize email integrando Salesforce e Instagram com N8N. Atendimento ao cliente 24/7.,https://n8n.io/workflows/3146,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"ecommerce,api,accounting"
Salesforce,Instagram,Webhook,Organização de eventos e agendamentos,Como integrar Salesforce com Instagram para webhook usando N8N,salesforce-para-instagram-n8n-webhook,Automatize webhook integrando Salesforce e Instagram com N8N. Organização de eventos e agendamentos.,https://n8n.io/workflows/3147,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"sme,reporting,automacao"
Salesforce,Instagram,API Call,Organização de eventos e agendamentos,Como integrar Salesforce com Instagram para api call usando N8N,salesforce-para-instagram-n8n-api call,Automatize api call integrando Salesforce e Instagram com N8N. Organização de eventos e agendamentos.,https://n8n.io/workflows/3148,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"webhook,project-management,email"
Salesforce,Instagram,Atualização,Otimização de processos,Como integrar Salesforce com Instagram para atualização usando N8N,salesforce-para-instagram-n8n-atualização,Automatize atualização integrando Salesforce e Instagram com N8N. Otimização de processos.,https://n8n.io/workflows/3149,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"validation,analytics,enterprise"
Salesforce,Instagram,Criação,Melhor rastreabilidade,Como integrar Salesforce com Instagram para criação usando N8N,salesforce-para-instagram-n8n-criação,Automatize criação integrando Salesforce e Instagram com N8N. Melhor rastreabilidade.,https://n8n.io/workflows/3150,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"b2c,social,enterprise"
Salesforce,Instagram,Exclusão,Centralização de dados empresariais,Como integrar Salesforce com Instagram para exclusão usando N8N,salesforce-para-instagram-n8n-exclusão,Automatize exclusão integrando Salesforce e Instagram com N8N. Centralização de dados empresariais.,https://n8n.io/workflows/3151,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"filter,api,b2b"
Salesforce,Instagram,Backup,Gerenciamento de relacionamento com clientes,Como integrar Salesforce com Instagram para backup usando N8N,salesforce-para-instagram-n8n-backup,Automatize backup integrando Salesforce e Instagram com N8N. Gerenciamento de relacionamento com clientes.,https://n8n.io/workflows/3152,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"b2c,inventory,trigger"
Salesforce,Instagram,Sincronização,Notificação para equipes,Como integrar Salesforce com Instagram para sincronização usando N8N,salesforce-para-instagram-n8n-sincronização,Automatize sincronização integrando Salesforce e Instagram com N8N. Notificação para equipes.,https://n8n.io/workflows/3153,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"vendas,trigger,export"
Salesforce,Instagram,Relatório,Atendimento ao cliente 24/7,Como integrar Salesforce com Instagram para relatório usando N8N,salesforce-para-instagram-n8n-relatório,Automatize relatório integrando Salesforce e Instagram com N8N. Atendimento ao cliente 24/7.,https://n8n.io/workflows/3154,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"otimizacao,acquisition,vendas"
Salesforce,Instagram,Alerta,Acompanhamento de vendas,Como integrar Salesforce com Instagram para alerta usando N8N,salesforce-para-instagram-n8n-alerta,Automatize alerta integrando Salesforce e Instagram com N8N. Acompanhamento de vendas.,https://n8n.io/workflows/3155,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"notificacao,payment,hr"
Salesforce,Instagram,Importação,Escalabilidade de processos,Como integrar Salesforce com Instagram para importação usando N8N,salesforce-para-instagram-n8n-importação,Automatize importação integrando Salesforce e Instagram com N8N. Escalabilidade de processos.,https://n8n.io/workflows/3156,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"saas,sync,backup"
Salesforce,Instagram,Exportação,Organização de eventos e agendamentos,Como integrar Salesforce com Instagram para exportação usando N8N,salesforce-para-instagram-n8n-exportação,Automatize exportação integrando Salesforce e Instagram com N8N. Organização de eventos e agendamentos.,https://n8n.io/workflows/3157,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"automacao,transform,enterprise"
Salesforce,Instagram,Transformação,Atendimento ao cliente 24/7,Como integrar Salesforce com Instagram para transformação usando N8N,salesforce-para-instagram-n8n-transformação,Automatize transformação integrando Salesforce e Instagram com N8N. Atendimento ao cliente 24/7.,https://n8n.io/workflows/3158,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"enterprise,dados,finance"
Salesforce,Instagram,Filtro,Backup e armazenamento seguro de informações,Como integrar Salesforce com Instagram para filtro usando N8N,salesforce-para-instagram-n8n-filtro,Automatize filtro integrando Salesforce e Instagram com N8N. Backup e armazenamento seguro de informações.,https://n8n.io/workflows/3159,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"performance,email,startup"
Salesforce,Instagram,Validação,Redução de custos operacionais,Como integrar Salesforce com Instagram para validação usando N8N,salesforce-para-instagram-n8n-validação,Automatize validação integrando Salesforce e Instagram com N8N. Redução de custos operacionais.,https://n8n.io/workflows/3160,Conectar Trigger Salesforce|Validar dados|Formatar para Instagram|Enviar/Criar no Instagram|Registrar resultado,"saas,payment,chat"
Salesforce,Twitter,Lead,Integração com redes sociais,Como integrar Salesforce com Twitter para lead usando N8N,salesforce-para-twitter-n8n-lead,Automatize lead integrando Salesforce e Twitter com N8N. Integração com redes sociais.,https://n8n.io/workflows/3161,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"ecommerce,whatsapp,inventory"
Salesforce,Twitter,Venda,Criação de leads qualificados,Como integrar Salesforce com Twitter para venda usando N8N,salesforce-para-twitter-n8n-venda,Automatize venda integrando Salesforce e Twitter com N8N. Criação de leads qualificados.,https://n8n.io/workflows/3162,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"automacao,whatsapp,performance"
Salesforce,Twitter,Notificação,Automação de conteúdo,Como integrar Salesforce com Twitter para notificação usando N8N,salesforce-para-twitter-n8n-notificação,Automatize notificação integrando Salesforce e Twitter com N8N. Automação de conteúdo.,https://n8n.io/workflows/3163,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"b2c,filter,dados"
Salesforce,Twitter,Formulário,Acompanhamento de vendas,Como integrar Salesforce com Twitter para formulário usando N8N,salesforce-para-twitter-n8n-formulário,Automatize formulário integrando Salesforce e Twitter com N8N. Acompanhamento de vendas.,https://n8n.io/workflows/3164,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"security,enterprise,b2b"
Salesforce,Twitter,Contato,Integração com redes sociais,Como integrar Salesforce com Twitter para contato usando N8N,salesforce-para-twitter-n8n-contato,Automatize contato integrando Salesforce e Twitter com N8N. Integração com redes sociais.,https://n8n.io/workflows/3165,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"retention,validation,hr"
Salesforce,Twitter,Pedido,Controle de qualidade,Como integrar Salesforce com Twitter para pedido usando N8N,salesforce-para-twitter-n8n-pedido,Automatize pedido integrando Salesforce e Twitter com N8N. Controle de qualidade.,https://n8n.io/workflows/3166,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"saas,payment,enterprise"
Salesforce,Twitter,Pagamento,Notificação para equipes,Como integrar Salesforce com Twitter para pagamento usando N8N,salesforce-para-twitter-n8n-pagamento,Automatize pagamento integrando Salesforce e Twitter com N8N. Notificação para equipes.,https://n8n.io/workflows/3167,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"analytics,transform,payment"
Salesforce,Twitter,Evento,Centralização de dados empresariais,Como integrar Salesforce com Twitter para evento usando N8N,salesforce-para-twitter-n8n-evento,Automatize evento integrando Salesforce e Twitter com N8N. Centralização de dados empresariais.,https://n8n.io/workflows/3168,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"acquisition,vendas,security"
Salesforce,Twitter,Chat,Notificação para equipes,Como integrar Salesforce com Twitter para chat usando N8N,salesforce-para-twitter-n8n-chat,Automatize chat integrando Salesforce e Twitter com N8N. Notificação para equipes.,https://n8n.io/workflows/3169,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"enterprise,acquisition,import"
Salesforce,Twitter,Comentário,Atendimento ao cliente 24/7,Como integrar Salesforce com Twitter para comentário usando N8N,salesforce-para-twitter-n8n-comentário,Automatize comentário integrando Salesforce e Twitter com N8N. Atendimento ao cliente 24/7.,https://n8n.io/workflows/3170,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"transform,api,finance"
Salesforce,Twitter,Post,Marketing automation e segmentação,Como integrar Salesforce com Twitter para post usando N8N,salesforce-para-twitter-n8n-post,Automatize post integrando Salesforce e Twitter com N8N. Marketing automation e segmentação.,https://n8n.io/workflows/3171,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"formularios,hr,webhook"
Salesforce,Twitter,Agendamento,Melhor rastreabilidade,Como integrar Salesforce com Twitter para agendamento usando N8N,salesforce-para-twitter-n8n-agendamento,Automatize agendamento integrando Salesforce e Twitter com N8N. Melhor rastreabilidade.,https://n8n.io/workflows/3172,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"formularios,b2c,enterprise"
Salesforce,Twitter,Email,Melhor rastreabilidade,Como integrar Salesforce com Twitter para email usando N8N,salesforce-para-twitter-n8n-email,Automatize email integrando Salesforce e Twitter com N8N. Melhor rastreabilidade.,https://n8n.io/workflows/3173,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"enterprise,saas,booking"
Salesforce,Twitter,Webhook,Criação de leads qualificados,Como integrar Salesforce com Twitter para webhook usando N8N,salesforce-para-twitter-n8n-webhook,Automatize webhook integrando Salesforce e Twitter com N8N. Criação de leads qualificados.,https://n8n.io/workflows/3174,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"filter,b2c,growth"
Salesforce,Twitter,API Call,Aumento de produtividade,Como integrar Salesforce com Twitter para api call usando N8N,salesforce-para-twitter-n8n-api call,Automatize api call integrando Salesforce e Twitter com N8N. Aumento de produtividade.,https://n8n.io/workflows/3175,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"whatsapp,webhook,accounting"
Salesforce,Twitter,Atualização,Escalabilidade de processos,Como integrar Salesforce com Twitter para atualização usando N8N,salesforce-para-twitter-n8n-atualização,Automatize atualização integrando Salesforce e Twitter com N8N. Escalabilidade de processos.,https://n8n.io/workflows/3176,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"whatsapp,schedule,customer-support"
Salesforce,Twitter,Criação,Melhoria de experiência do cliente,Como integrar Salesforce com Twitter para criação usando N8N,salesforce-para-twitter-n8n-criação,Automatize criação integrando Salesforce e Twitter com N8N. Melhoria de experiência do cliente.,https://n8n.io/workflows/3177,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"accounting,schedule,filter"
Salesforce,Twitter,Exclusão,Melhor rastreabilidade,Como integrar Salesforce com Twitter para exclusão usando N8N,salesforce-para-twitter-n8n-exclusão,Automatize exclusão integrando Salesforce e Twitter com N8N. Melhor rastreabilidade.,https://n8n.io/workflows/3178,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"hr,import,sme"
Salesforce,Twitter,Backup,Criação de leads qualificados,Como integrar Salesforce com Twitter para backup usando N8N,salesforce-para-twitter-n8n-backup,Automatize backup integrando Salesforce e Twitter com N8N. Criação de leads qualificados.,https://n8n.io/workflows/3179,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"email,transform,schedule"
Salesforce,Twitter,Sincronização,Centralização de dados empresariais,Como integrar Salesforce com Twitter para sincronização usando N8N,salesforce-para-twitter-n8n-sincronização,Automatize sincronização integrando Salesforce e Twitter com N8N. Centralização de dados empresariais.,https://n8n.io/workflows/3180,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"enterprise,startup,marketing"
Salesforce,Twitter,Relatório,Criação de leads qualificados,Como integrar Salesforce com Twitter para relatório usando N8N,salesforce-para-twitter-n8n-relatório,Automatize relatório integrando Salesforce e Twitter com N8N. Criação de leads qualificados.,https://n8n.io/workflows/3181,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"enterprise,project-management,automacao"
Salesforce,Twitter,Alerta,Fluxo de trabalho com aprovações,Como integrar Salesforce com Twitter para alerta usando N8N,salesforce-para-twitter-n8n-alerta,Automatize alerta integrando Salesforce e Twitter com N8N. Fluxo de trabalho com aprovações.,https://n8n.io/workflows/3182,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"filter,sme,crm"
Salesforce,Twitter,Importação,Escalabilidade de processos,Como integrar Salesforce com Twitter para importação usando N8N,salesforce-para-twitter-n8n-importação,Automatize importação integrando Salesforce e Twitter com N8N. Escalabilidade de processos.,https://n8n.io/workflows/3183,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"import,validation,automacao"
Salesforce,Twitter,Exportação,Verificação de dados duplicados,Como integrar Salesforce com Twitter para exportação usando N8N,salesforce-para-twitter-n8n-exportação,Automatize exportação integrando Salesforce e Twitter com N8N. Verificação de dados duplicados.,https://n8n.io/workflows/3184,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"import,acquisition,retention"
Salesforce,Twitter,Transformação,Aumento de produtividade,Como integrar Salesforce com Twitter para transformação usando N8N,salesforce-para-twitter-n8n-transformação,Automatize transformação integrando Salesforce e Twitter com N8N. Aumento de produtividade.,https://n8n.io/workflows/3185,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"b2c,filter,b2b"
Salesforce,Twitter,Filtro,Gestão de tickets e suporte,Como integrar Salesforce com Twitter para filtro usando N8N,salesforce-para-twitter-n8n-filtro,Automatize filtro integrando Salesforce e Twitter com N8N. Gestão de tickets e suporte.,https://n8n.io/workflows/3186,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"integracao,notificacao,social"
Salesforce,Twitter,Validação,Controle de inventário e estoque,Como integrar Salesforce com Twitter para validação usando N8N,salesforce-para-twitter-n8n-validação,Automatize validação integrando Salesforce e Twitter com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/3187,Conectar Trigger Salesforce|Validar dados|Formatar para Twitter|Enviar/Criar no Twitter|Registrar resultado,"growth,marketing,social"
Salesforce,TikTok,Lead,Enriquecimento de contatos,Como integrar Salesforce com TikTok para lead usando N8N,salesforce-para-tiktok-n8n-lead,Automatize lead integrando Salesforce e TikTok com N8N. Enriquecimento de contatos.,https://n8n.io/workflows/3188,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"api,trigger,analytics"
Salesforce,TikTok,Venda,Otimização de processos,Como integrar Salesforce com TikTok para venda usando N8N,salesforce-para-tiktok-n8n-venda,Automatize venda integrando Salesforce e TikTok com N8N. Otimização de processos.,https://n8n.io/workflows/3189,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"filter,webhook,b2c"
Salesforce,TikTok,Notificação,Controle de inventário e estoque,Como integrar Salesforce com TikTok para notificação usando N8N,salesforce-para-tiktok-n8n-notificação,Automatize notificação integrando Salesforce e TikTok com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/3190,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"security,webhook,social"
Salesforce,TikTok,Formulário,Gerenciamento de projetos,Como integrar Salesforce com TikTok para formulário usando N8N,salesforce-para-tiktok-n8n-formulário,Automatize formulário integrando Salesforce e TikTok com N8N. Gerenciamento de projetos.,https://n8n.io/workflows/3191,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"social,retention,inventory"
Salesforce,TikTok,Contato,Priorização de leads,Como integrar Salesforce com TikTok para contato usando N8N,salesforce-para-tiktok-n8n-contato,Automatize contato integrando Salesforce e TikTok com N8N. Priorização de leads.,https://n8n.io/workflows/3192,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"trigger,customer-support,project-management"
Salesforce,TikTok,Pedido,Integração de pagamentos e financeiro,Como integrar Salesforce com TikTok para pedido usando N8N,salesforce-para-tiktok-n8n-pedido,Automatize pedido integrando Salesforce e TikTok com N8N. Integração de pagamentos e financeiro.,https://n8n.io/workflows/3193,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"import,marketing,transform"
Salesforce,TikTok,Pagamento,Atendimento ao cliente 24/7,Como integrar Salesforce com TikTok para pagamento usando N8N,salesforce-para-tiktok-n8n-pagamento,Automatize pagamento integrando Salesforce e TikTok com N8N. Atendimento ao cliente 24/7.,https://n8n.io/workflows/3194,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"dados,chat,whatsapp"
Salesforce,TikTok,Evento,Gerenciamento de projetos,Como integrar Salesforce com TikTok para evento usando N8N,salesforce-para-tiktok-n8n-evento,Automatize evento integrando Salesforce e TikTok com N8N. Gerenciamento de projetos.,https://n8n.io/workflows/3195,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"payment,social,crm"
Salesforce,TikTok,Chat,Auditoria de ações,Como integrar Salesforce com TikTok para chat usando N8N,salesforce-para-tiktok-n8n-chat,Automatize chat integrando Salesforce e TikTok com N8N. Auditoria de ações.,https://n8n.io/workflows/3196,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"validation,payment,marketing"
Salesforce,TikTok,Comentário,Backup e armazenamento seguro de informações,Como integrar Salesforce com TikTok para comentário usando N8N,salesforce-para-tiktok-n8n-comentário,Automatize comentário integrando Salesforce e TikTok com N8N. Backup e armazenamento seguro de informações.,https://n8n.io/workflows/3197,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"saas,project-management,notificacao"
Salesforce,TikTok,Post,Priorização de leads,Como integrar Salesforce com TikTok para post usando N8N,salesforce-para-tiktok-n8n-post,Automatize post integrando Salesforce e TikTok com N8N. Priorização de leads.,https://n8n.io/workflows/3198,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"reporting,payment,project-management"
Salesforce,TikTok,Agendamento,Gerenciamento de projetos,Como integrar Salesforce com TikTok para agendamento usando N8N,salesforce-para-tiktok-n8n-agendamento,Automatize agendamento integrando Salesforce e TikTok com N8N. Gerenciamento de projetos.,https://n8n.io/workflows/3199,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"enterprise,b2c,cultura"
Salesforce,TikTok,Email,Integração de pagamentos e financeiro,Como integrar Salesforce com TikTok para email usando N8N,salesforce-para-tiktok-n8n-email,Automatize email integrando Salesforce e TikTok com N8N. Integração de pagamentos e financeiro.,https://n8n.io/workflows/3200,Conectar Trigger Salesforce|Validar dados|Formatar para TikTok|Enviar/Criar no TikTok|Registrar resultado,"sme,security,formularios"
